ID,Longitude,Latitude,Processor,Address,SupplierName
Tatua22,175.542173,-37.541428,Tatua,101 No. 9 Road,
Tatua23,175.588721,-37.549806,Tatua,724 No. 7 Road,
Tatua24,175.617317,-37.65441,Tatua,290 Cussen Road,
Tatua25,175.573353,-37.684968,Tatua,299 Kereone Road,
Tatua26,175.610333,-37.609733,Tatua,3651 State Highway 26,
Tatua27,175.582123,-37.597268,Tatua,4243 State Highway 27,
Tatua28,175.591901,-37.608524,Tatua,4367 State Highway 27,
Tatua29,175.527118,-37.564362,Tatua,232 Manhire Road,
Tatua30,175.642903,-37.660824,Tatua,126 Maungakawa Road,
Tatua31,175.564648,-37.629953,Tatua,88 Allen Road,
Tatua33,175.671651,-37.628081,Tatua,701 Waihekau Road,
Tatua35,175.573368,-37.595055,Tatua,4142 State Highway 27,
Tatua36,175.578756,-37.63672,Tatua,3244 State Highway 26,
Tatua37,175.614666,-37.60506,Tatua,62 No. 7 Road,
Tatua38,175.607561,-37.636984,Tatua,63 Cussen Road,
Tatua39,175.623728,-37.639931,Tatua,4805 State Highway 27,
Tatua42,175.551728,-37.588745,Tatua,3970 State Highway 27,
Tatua44,175.609565,-37.572601,Tatua,416 No. 1 Road,
Tatua45,175.599756,-37.562211,Tatua,554 No. 1 Road,
Tatua46,175.572696,-37.640627,Tatua,3172 State Highway 26,
Tatua47,175.53158,-37.57072,Tatua,120 Manhire Road,
Tatua48,175.610295,-37.592941,Tatua,186 No. 7 Road,
Tatua49,175.57008,-37.616005,Tatua,176 Wilton Road,
Tatua50,175.627817,-37.667148,Tatua,457 Cussen Road,
Tatua51,175.625002,-37.658322,Tatua,355 Cussen Road,
Tatua52,175.576237,-37.590097,Tatua,4079 State Highway 27,
Tatua54,175.586172,-37.612958,Tatua,32 Wilton Road,
Tatua55,175.579436,-37.59997,Tatua,4251 State Highway 27,
Tatua58,175.570585,-37.619584,Tatua,193 Wilton Road,
Tatua59,175.568793,-37.610593,Tatua,148 Wilton Road,
Tatua60,175.611168,-37.632564,Tatua,4689 State Highway 27,
Tatua61,175.633334,-37.61287,Tatua,133 Farmer Road,
Tatua62,175.604597,-37.64093,Tatua,102 Cussen Road,
Tatua64,175.568038,-37.652651,Tatua,135 Roache Road,
Tatua65,175.609612,-37.663355,Tatua,105 McAlpine Road,
Tatua67,175.567521,-37.661279,Tatua,228 Roache Road,
Tatua68,175.571507,-37.590754,Tatua,4092 State Highway 27,
Tatua69,175.601897,-37.596368,Tatua,173 No. 7 Road,
Tatua71,175.656884,-37.676418,Tatua,1060 Kereone Road,
Tatua72,175.65339,-37.655986,Tatua,33 Maungakawa Road,
Tatua73,175.64693,-37.664897,Tatua,149 Maungakawa Road,
Tatua74,175.564302,-37.570017,Tatua,222 Horrell Road,
Tatua75,175.573878,-37.655831,Tatua,137 Roache Road,
Tatua77,175.603284,-37.636792,Tatua,61 Cussen Road,
Tatua79,175.612301,-37.625312,Tatua,120 Wood Road,
Tatua80,175.617729,-37.623768,Tatua,174 Wood Road,
Tatua81,175.627496,-37.626897,Tatua,266 Wood Road,
Tatua82,175.638274,-37.667013,Tatua,224 Maungakawa Road,
Tatua84,175.677183,-37.675287,Tatua,5504 State Highway 27,
Tatua85,175.67048,-37.667997,Tatua,5390 State Highway 27,
Tatua86,175.59284,-37.63927,Tatua,111 Brown Road,
Tatua87,175.602628,-37.651878,Tatua,271 Brown Road,
Tatua88,175.643337,-37.678118,Tatua,931 Kereone Road,
Tatua90,175.558386,-37.655262,Tatua,136 Roache Road,
Tatua91,175.540532,-37.572497,Tatua,90 Manhire Road,
Tatua92,175.550976,-37.577552,Tatua,884 Horrell Road,
Tatua94,175.67397,-37.666381,Tatua,5431 State Highway 27,
Tatua95,175.622965,-37.653302,Tatua,305 Cussen Road,
Tatua100,175.584406,-37.581218,Tatua,409 No. 7 Road,
Tatua101,175.526616,-37.562641,Tatua,226 Manhire Road,
Tatua102,175.561787,-37.674877,Tatua,177 Kereone Road,
Tatua103,175.632402,-37.641051,Tatua,4809 State Highway 27,
Tatua105,175.590325,-37.662706,Tatua,249 Gibbon Rd,
Tatua109,175.574085,-37.597023,Tatua,4182 State Highway 27,
Tatua111,175.633138,-37.604608,Tatua,11 Belamy Street,
Tatua112,175.6568,-37.680781,Tatua,1060 Kereone Road,
Tatua114,175.681916,-37.673271,Tatua,5527 State Highway 27,
Tatua115,175.541039,-37.59733,Tatua,570 Horrell Road,
Tatua116,175.560596,-37.579249,Tatua,3938 State Highway 27,
Tatua117,175.564703,-37.576656,Tatua,3941 State Highway 27,
Tatua118,175.563949,-37.583939,Tatua,3975 State Highway 27,
Tatua119,175.525167,-37.559783,Tatua,278 Manhire Road,
Tatua120,175.595948,-37.5746,Tatua,418 No. 7 Road,
Tatua121,175.683311,-37.678192,Tatua,5567 State Highway 27,
Tatua122,175.56315,-37.666926,Tatua,263 Roache Road,
Tatua123,175.627067,-37.690887,Tatua,161 Settlement Road,
Tatua125,175.524122,-37.552367,Tatua,357 Manhire Road,
Tatua126,175.531528,-37.547649,Tatua,274 Manhire Road,
Tatua127,175.529822,-37.551638,Tatua,406 Manhire Road,
Tatua129,175.629182,-37.661413,Tatua,397 Cussen Road,
Tatua130,175.635195,-37.649315,Tatua,4984 State Highway 27,
Tatua131,175.564302,-37.570017,Tatua,64 No. 4 Road,
Tatua133,175.646561,-37.656179,Tatua,47 Maungakawa Road,
Tatua135,175.549825,-37.616182,Tatua,326 Horrell Road,
Tatua136,175.54175,-37.624375,Tatua,262 Horrell Road,
Tatua139,175.547938,-37.60314,Tatua,482 Horrell Road,
Tatua141,175.54373,-37.585946,Tatua,780 Horrell Road,
Tatua143,175.57566,-37.562239,Tatua,600 No. 7 Road,
Tatua144,175.541259,-37.559653,Tatua,3668 State Highway 27,
Tatua145,175.619443,-37.607422,Tatua,3736 State Highway 26,
Tatua146,175.545973,-37.542062,Tatua,122 No. 9 Road,
Tatua147,175.565347,-37.554455,Tatua,741 No. 7 Road,
Tatua149,175.696235,-37.68179,Tatua,5685 State Highway 27,
Tatua150,175.645733,-37.672375,Tatua,227 Maungakawa Road,
Tatua151,175.58432,-37.578323,Tatua,433 No. 7 Road,
Tatua152,175.591097,-37.639478,Tatua,114 Brown Road,
Tatua153,175.58894,-37.60643,Tatua,4335 State Highway 27,
